,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.00903787612915039,0.0009541601683892809,0.0026473045349121095,0.0019390089843014382,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9789473684210528,0.010526315789473674,1,1.0,0.9761600681140911,0.9717034521788342,0.9759139784946237,0.9759139784946237,0.9799382954564345,0.010168086239490915,1
1,0.0,0.0,0.004688119888305664,0.0062692289903571105,0.1,liblinear,"{'C': 0.1, 'solver': 'liblinear'}",1.0,0.9473684210526315,0.9736842105263158,1.0,0.9736842105263158,0.9789473684210526,0.019692933614599704,5,1.0,0.9479717813051147,0.972632731253421,1.0,0.972632731253421,0.9786474487623913,0.019622502980426608,6
2,0.007459449768066406,0.0061288689879037935,0.0031136512756347657,0.005279958758320196,0.1,newton-cg,"{'C': 0.1, 'solver': 'newton-cg'}",1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9789473684210528,0.010526315789473674,1,1.0,0.9761600681140911,0.9717034521788342,0.9759139784946237,0.9759139784946237,0.9799382954564345,0.010168086239490915,1
3,0.0064792633056640625,0.00793911581471225,0.00012912750244140626,0.00025825500488281246,0.1,sag,"{'C': 0.1, 'solver': 'sag'}",1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9789473684210528,0.010526315789473674,1,1.0,0.9761600681140911,0.9717034521788342,0.9759139784946237,0.9759139784946237,0.9799382954564345,0.010168086239490915,1
4,0.006529521942138672,0.008082370073581277,0.00012607574462890624,0.0002521514892578124,0.1,saga,"{'C': 0.1, 'solver': 'saga'}",1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9789473684210528,0.010526315789473674,1,1.0,0.9761600681140911,0.9717034521788342,0.9759139784946237,0.9759139784946237,0.9799382954564345,0.010168086239490915,1
5,0.006951284408569336,0.008513559239462634,0.002959918975830078,0.0048703777627604255,1,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",1.0,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.9736842105263158,0.9736842105263157,0.016643566632465173,7,1.0,0.9761600681140911,0.9444444444444445,0.9759139784946237,0.9759139784946237,0.9744864939095566,0.01766544652246653,7
6,0.0,0.0,0.003309011459350586,0.006618022918701172,1,liblinear,"{'C': 1, 'solver': 'liblinear'}",1.0,0.9473684210526315,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263157,0.016643566632465173,7,1.0,0.9479717813051147,0.972632731253421,0.9759139784946237,0.972632731253421,0.9738302444613162,0.016496825422140052,11
7,0.01804351806640625,0.016764124337549965,0.0021570205688476564,0.0033030760013662993,1,newton-cg,"{'C': 1, 'solver': 'newton-cg'}",1.0,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.9736842105263158,0.9736842105263157,0.016643566632465173,7,1.0,0.9761600681140911,0.9444444444444445,0.9759139784946237,0.9759139784946237,0.9744864939095566,0.01766544652246653,7
8,0.006164026260375976,0.005619429040849958,0.004793643951416016,0.0060290445083038815,1,sag,"{'C': 1, 'solver': 'sag'}",1.0,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.9736842105263158,0.9736842105263157,0.016643566632465173,7,1.0,0.9761600681140911,0.9444444444444445,0.9759139784946237,0.9759139784946237,0.9744864939095566,0.01766544652246653,7
9,0.014658546447753907,0.0037432400539254332,0.0003208160400390625,0.000641632080078125,1,saga,"{'C': 1, 'solver': 'saga'}",1.0,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.9736842105263158,0.9736842105263157,0.016643566632465173,7,1.0,0.9761600681140911,0.9444444444444445,0.9759139784946237,0.9759139784946237,0.9744864939095566,0.01766544652246653,7
10,0.008906412124633788,0.007663050085141592,0.00042514801025390626,0.0008502960205078126,10,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",1.0,0.9473684210526315,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.968421052631579,0.019692933614599718,12,1.0,0.9479717813051147,0.9717034521788342,0.9482894736842106,0.9759139784946237,0.9687757371325565,0.01942664234959671,12
11,0.0004839897155761719,0.0009679794311523438,0.0029716968536376955,0.004532051218874972,10,liblinear,"{'C': 10, 'solver': 'liblinear'}",1.0,0.9473684210526315,0.9736842105263158,1.0,0.9736842105263158,0.9789473684210526,0.019692933614599704,5,1.0,0.9479717813051147,0.9717034521788342,1.0,0.9759139784946237,0.9791178423957145,0.019531738581420207,5
12,0.01336355209350586,0.006686351613378578,0.0,0.0,10,newton-cg,"{'C': 10, 'solver': 'newton-cg'}",1.0,0.9473684210526315,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.968421052631579,0.019692933614599718,12,1.0,0.9479717813051147,0.9717034521788342,0.9482894736842106,0.9759139784946237,0.9687757371325565,0.01942664234959671,12
13,0.036649465560913086,0.006657188632229871,0.0,0.0,10,sag,"{'C': 10, 'solver': 'sag'}",1.0,0.9473684210526315,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.968421052631579,0.019692933614599718,12,1.0,0.9479717813051147,0.9717034521788342,0.9482894736842106,0.9759139784946237,0.9687757371325565,0.01942664234959671,12
